B0019.1.1	12759840,12760025,12760331,12760506,12760916,12761528,12761965,12762280,12762818,12763261,12763667,12763894,12764114,12764483	12759959,12760237,12760375,12760844,12761182,12761809,12762137,12762658,12763122,12763458,12763739,12763989,12764301,12764822
B0019.2.1	12773755,12774339,12775195,12775868,12776740,12777429,12779222,12779450,12780120,12780455,12781285,12781814	12774109,12774780,12775756,12776403,12777317,12779101,12779284,12780050,12780247,12781227,12781536,12782104
B0025.1a.1	6028650,6029750,6030656,6031645,6032709	6029158,6029948,6031058,6032186,6033226
B0025.1b.1	6030656,6031645,6032709	6031058,6032186,6033226
B0025.1c.1	6028650,6029750,6030656,6031645,6032709	6029158,6029948,6031058,6032186,6033226
B0025.1c.2	6028650,6029750,6030656,6031645,6032709	6029158,6029948,6031058,6032186,6033226
B0025.2.1	6022725,6023241,6024022,6025503,6026100	6022984,6023604,6025216,6025798,6026570
B0025.2.2	6022725,6023241,6024022,6025503,6026100	6022984,6023604,6025216,6025798,6026570
B0025.4.1	6027593	6028184
B0025.5.1	6024268,6024420	6024333,6024835
B0041.1.1	4665009,4665154	4665052,4665198
B0041.11.1	4661957,4662080	4662002,4662130
B0041.11.2	4661957,4662080	4662002,4662130
B0041.11.3	4661957,4662080	4662002,4662130
B0041.2a.1	4655497,4656459,4656781,4657488,4658256,4658763	4655720,4656510,4657205,4657938,4658684,4659008
B0041.2a.2	4655497,4656459,4656781,4657488,4658256,4658763	4655720,4656510,4657205,4657938,4658684,4659008
B0041.2b.1	4653543,4653687,4655497,4656459,4656781,4657488,4658256,4658763	4653597,4655348,4655720,4656510,4657211,4657938,4658684,4659008
B0041.2c.1	4655497,4656459,4656781,4657488,4658256,4658763	4655720,4656510,4657211,4657938,4658684,4659008
B0041.2c.2	4655497,4656459,4656781,4657488,4658256,4658763	4655720,4656510,4657211,4657938,4658684,4659008
B0041.2d.1	4653543,4653687,4655497,4656459,4656781,4657488,4658256,4658763	4653597,4655348,4655720,4656510,4657205,4657938,4658684,4659008
B0041.2e.1	4653543,4653687,4655497,4656459,4656781,4657428,4658256,4658763	4653597,4655348,4655720,4656510,4657205,4657938,4658684,4659008
B0041.2f.1	4653543,4653687,4655497,4656459,4656781,4657428,4658256,4658763	4653597,4655348,4655720,4656510,4657211,4657938,4658684,4659008
B0041.2g.1	4655497,4656459,4656781,4657434,4658256,4658763	4655720,4656510,4657211,4657938,4658684,4659008
B0041.2g.2	4655497,4656459,4656781,4657434,4658256,4658763	4655720,4656510,4657211,4657938,4658684,4659008
B0041.3.1	4644764,4645305	4645184,4645352
B0041.4.1	4646232,4646389,4646704	4646280,4646440,4646785
B0041.5a.1	4648742,4649102,4649326,4649743,4650543	4648797,4649178,4649610,4650248,4650591
B0041.5c.1	4648742,4649102,4649743,4650543	4648797,4649610,4650248,4650591
B0041.6a.1	4652324,4652702	4652569,4652753
B0041.6b.1	4652324,4652702	4652569,4652753
B0041.7.1	4666296,4667200,4667952,4668710,4669403,4669740,4670793,4671425,4671620	4666400,4667717,4668011,4669226,4669460,4669791,4670857,4671478,4671679
B0041.7.2	4666296,4667200,4667952,4668710,4669403,4669740,4670793,4671425,4671620	4666400,4667717,4668011,4669226,4669460,4669791,4670857,4671478,4671679
B0041.8.1	4647566,4647882	4647612,4647930
B0041.8.2	4647566,4647882	4647612,4647930
B0205.10.1	10709644,10710138,10710242	10709691,10710180,10710287
B0205.10.2	10709644,10710138,10710242	10709691,10710180,10710287
B0205.11.1	10732794,10733165,10733338,10733554	10732840,10733212,10733387,10733598
B0205.12.1	10730550	10730599
B0205.13.1	10728047	10728647
B0205.14.1	10726993	10727176
B0205.1a.1	10713840,10714104,10714693,10714857,10715232,10715516,10715792,10716354,10716630,10716790,10716996,10717743	10713890,10714151,10714742,10714988,10715401,10715560,10716239,10716398,10716675,10716841,10717714,10717799
B0205.1b.1	10713840,10714104,10714693,10714857,10715232,10715516,10715792,10716354,10716630,10716790	10713890,10714151,10714742,10714988,10715401,10715560,10716239,10716398,10716675,10716841
B0205.2a.1	10724413,10724962,10725302	10724796,10725003,10725351
B0205.2b.1	10724413,10724962,10725302,10725480	10724796,10725003,10725351,10725989
B0205.3.1	10731300,10731855,10732315	10731352,10732173,10732365
B0205.3.2	10731300,10731855,10732315	10731352,10732173,10732365
B0205.4.1	10741536,10741717,10741823,10742026,10743088,10743500,10743748,10743915,10744268	10741582,10741758,10741876,10742975,10743340,10743544,10743788,10744129,10744333
B0205.5.1	10740392	10740544
B0205.6.1	10736818,10737461,10737625,10737896,10738035,10738322,10738528,10739129,10739605	10737322,10737504,10737796,10737940,10738186,10738371,10738987,10739437,10739654
B0205.7.1	10734078,10734492,10734679,10734813,10735169,10735751,10735888	10734320,10734550,10734727,10734871,10735625,10735805,10736084
B0205.8.1	10729051,10729969,10730109	10729774,10730016,10730167
B0205.8.2	10729051,10729969,10730109	10729774,10730016,10730167
B0205.9.1	10720975,10721135,10721416,10722133,10722910,10723168	10721020,10721193,10722018,10722182,10722954,10723215
B0207.10.1	5959208	5959456
B0207.1.1	5965401,5965862,5966002,5966183,5966481,5966686,5967071	5965442,5965910,5966048,5966257,5966527,5966817,5967117
B0207.11.1	5963102,5963463,5963586,5963887	5963176,5963510,5963632,5964063
B0207.12a.1	5969153,5969233,5969575,5969733,5969915,5970081,5970194,5970444,5970849,5970983,5971459,5972744	5969201,5969439,5969618,5969837,5969992,5970128,5970302,5970765,5970901,5971369,5972582,5973163
B0207.12a.2	5969153,5969233,5969575,5969733,5969915,5970081,5970194,5970444,5970849,5970983,5971459,5972744	5969201,5969439,5969618,5969837,5969992,5970128,5970302,5970765,5970901,5971369,5972582,5973163
B0207.12b.1	5967456,5967600,5967952,5968234,5968705,5968887,5969004,5970444,5970849,5970983,5971459,5972744	5967504,5967838,5968131,5968599,5968810,5968954,5970302,5970765,5970901,5971369,5972582,5973163
B0207.12c.1	5970444,5970849,5970983,5971459,5972744	5970765,5970901,5971369,5972582,5973163
B0207.2.1	5955155,5955660,5955900,5956123,5956722	5955570,5955704,5956035,5956628,5956779
B0207.3a.1	5942612,5942950,5944015,5944192,5944479,5945080,5945425	5942826,5943708,5944062,5944348,5944880,5945305,5945471
B0207.3b.1	5942487,5942660,5942950,5944015,5944192,5944479,5945080,5945425	5942572,5942826,5943708,5944062,5944348,5944880,5945305,5945471
B0207.4.1	5937552,5937710,5938154,5938491	5937600,5937785,5938216,5938590
B0207.5a.1	5919516,5920902,5921175,5921484,5921977,5922240,5922840,5923319,5923619,5924290,5924620,5924871,5925923,5926862,5927526,5928338,5928511,5929319,5929645,5930067,5930538,5934142,5934322,5934653	5920207,5921096,5921222,5921865,5922077,5922596,5922904,5923372,5924037,5924361,5924678,5925166,5926348,5927081,5927734,5928384,5928853,5929377,5929700,5930285,5930651,5934216,5934572,5935222
B0207.5b.1	5919516,5920902,5921175,5921484,5921977,5922240,5922840,5923319,5923619,5924290,5924620,5924871,5925923,5926862,5927526,5928338,5928511,5929319,5929645,5930067,5930538,5934142,5934322,5934653	5920207,5921096,5921222,5921865,5922077,5922596,5922904,5923372,5924037,5924361,5924678,5925166,5926348,5927081,5927734,5928384,5928853,5929377,5929700,5930285,5930651,5934186,5934572,5935222
B0207.6.1	5935878,5936404,5936669	5936204,5936560,5936785
B0207.7.1	5945806,5946132,5946308,5946525,5947038	5945858,5946185,5946356,5946779,5947090
B0207.8.1	5951214,5951374,5951697	5951260,5951464,5951739
B0207.9.1	5957687,5958079,5958236	5958000,5958127,5958309
B0207.9.2	5957687,5958079,5958236	5958000,5958127,5958309
B0261.1.1	5264004,5264486,5264915,5265087,5265571,5266669,5266810,5267656	5264061,5264817,5264961,5265150,5266280,5266713,5267319,5267958
